x_value,config.Human_Data,detectedViolators,totalViolations
0,13,4,0
1,13,4,0
2,12,2,0
3,13,3,0
4,13,3,0
5,12,2,0
6,12,4,0
7,12,4,0
8,12,4,0
9,12,4,0
10,13,6,0
11,11,4,0
12,12,4,0
13,12,4,0
14,14,6,0
15,14,7,0
16,15,8,0
17,14,6,1
18,13,6,1
19,12,4,1
20,13,7,1
21,13,4,1
22,13,4,1
23,14,6,1
24,13,4,1
25,15,7,1
26,14,5,1
27,15,8,1
28,16,8,1
29,15,7,1
30,15,7,1
31,14,6,1
32,15,8,1
33,15,8,1
34,15,8,1
35,16,8,1
36,16,8,2
37,17,11,2
38,17,11,2
39,17,11,2
40,17,11,2
41,16,8,2
42,16,10,2
43,16,10,2
44,16,10,2
45,16,10,2
46,16,10,2
47,18,11,2
48,18,11,2
49,19,12,2
50,19,12,2
51,19,12,2
52,19,12,2
53,19,12,3
54,19,12,3
55,19,12,3
56,19,12,3
57,20,13,3
58,20,13,3
59,20,12,3
60,19,11,3
61,21,14,3
62,20,13,3
63,20,13,3
64,20,13,3
65,20,13,3
66,19,11,3
67,20,13,3
68,20,13,3
69,20,13,3
70,20,13,3
71,20,13,4
72,20,13,4
73,20,13,4
74,21,14,4
75,21,14,4
76,22,15,4
77,21,14,4
